Title,Global,Hours_Viewed,Runtime,Views,Time_Period,averageRating,numVotes,genres,Is_Global,Popularity,Sufficient Votes,Genre: Romance,Genre: Comedy,Genre: Animation,Genre: Documentary,Genre: Sport,Genre: Horror,Genre: Fantasy,Genre: Sci-Fi,Genre: Drama,Genre: News,Genre: Action,Genre: Mystery,Genre: Family,Genre: Adventure,Genre: Biography,Genre: History,Genre: Music,Genre: Short,Genre: Game-Show,Genre: Talk-Show
The Killer,Yes,135600000,120.0,67800000,2023 H2,6.1,16,"Crime,Drama,Mystery",1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
The Secret Life of Pets,No,95600000,87.0,65900000,2025 H1,7.5,10,Documentary,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Boss Baby,No,103800000,98.0,63600000,2024 H1,6.9,64,Comedy,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Family Switch,Yes,109400000,106.0,61900000,2023 H2,5.7,31730,"Comedy,Family,Fantasy",1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Despicable Me 3,No,92400000,90.0,61600000,2024 H1,6.3,173963,"Adventure,Animation,Comedy",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trolls Band Together,No,93100000,92.0,60700000,2024 H2,6.0,19104,"Adventure,Animation,Comedy",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
You Are So Not Invited to My Bat Mitzvah,Yes,105100000,104.0,60600000,2023 H2,5.9,27160,Comedy,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
That Christmas,Yes,96200000,96.0,60100000,2024 H2,6.8,17409,"Adventure,Animation,Comedy",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Kinda Pregnant,Yes,98100000,100.0,58900000,2025 H1,4.9,17025,"Comedy,Drama",1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nonnas,Yes,109500000,114.0,57600000,2025 H1,6.8,40075,Comedy,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woody Woodpecker Goes to Camp,Yes,95600000,100.0,57400000,2024 H1,4.5,2761,"Adventure,Animation,Comedy",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
iHostage,Yes,97600000,102.0,57400000,2025 H1,6.5,16,"Short,Thriller",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Shrek,No,85300000,90.0,56900000,2024 H1,7.0,75,Comedy,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Deliverance,Yes,107000000,113.0,56800000,2024 H2,9.4,5,"Drama,Thriller",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Saving Bikini Bottom: The Sandy Cheeks Movie,Yes,80600000,87.0,55600000,2024 H2,3.7,4250,"Adventure,Animation,Comedy",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
La Dolce Villa,Yes,91500000,99.0,55500000,2025 H1,6.0,11482,"Comedy,Romance",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extraction 2,Yes,111900000,124.0,54100000,2023 H2,7.9,13,Talk-Show,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Equalizer 3,No,97200000,109.0,53500000,2024 H1,6.8,154041,"Action,Crime,Thriller",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mea Culpa,Yes,105500000,120.0,52800000,2024 H1,5.9,13,Drama,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Trigger Warning,Yes,92900000,107.0,52100000,2024 H1,7.7,40,"Action,Animation,Comedy",1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Love at First Sight,Yes,78800000,91.0,52000000,2023 H2,7.0,13,Romance,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minions: The Rise of Gru,No,76000000,88.0,51800000,2024 H2,6.5,101464,"Adventure,Animation,Comedy",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Plankton: The Movie,Yes,74200000,88.0,50600000,2025 H1,5.3,3970,"Adventure,Animation,Comedy",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Abyss,No,84900000,103.0,49500000,2024 H1,6.8,27,Adult,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meet Me Next Christmas,Yes,85600000,106.0,48500000,2024 H2,5.7,8774,"Comedy,Romance",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Find Me Falling,Yes,75900000,94.0,48400000,2024 H2,6.3,13532,"Comedy,Music,Romance",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Time Cut,Yes,73600000,92.0,48000000,2024 H2,5.1,21374,"Horror,Mystery,Sci-Fi",1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
What Jennifer Did,Yes,68900000,87.0,47500000,2024 H1,6.1,12082,"Crime,Documentary",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incoming,Yes,70400000,91.0,46400000,2024 H2,6.0,29,Action,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Orion and the Dark,Yes,71700000,93.0,46300000,2024 H1,6.3,18243,"Adventure,Animation,Comedy",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Emoji Movie,No,67000000,87.0,46200000,2024 H2,6.1,77,Comedy,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
