Title,Global,Hours_Viewed,Runtime,Views,Time_Period,averageRating,numVotes,genres,Is_Global,Popularity,Sufficient Votes,Genre: Romance,Genre: Comedy,Genre: Animation,Genre: Documentary,Genre: Sport,Genre: Horror,Genre: Fantasy,Genre: Sci-Fi,Genre: Drama,Genre: News,Genre: Action,Genre: Mystery,Genre: Family,Genre: Adventure,Genre: Biography,Genre: History,Genre: Music,Genre: Short,Genre: Game-Show,Genre: Talk-Show
Secrets of the Saqqara Tomb,Yes,2500000,114.0,1300000,2023 H2,7.2,7461,"Documentary,History",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Braid,No,2600000,121.0,1300000,2025 H1,7.2,2245,Drama,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Canvas,Yes,200000,9.0,1300000,2025 H1,7.4,8,"Animation,Short",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pagglait,Yes,2500000,114.0,1300000,2025 H1,6.9,11272,"Comedy,Drama",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Drag Me to Hell,No,2200000,99.0,1300000,2023 H2,8.0,121,"Crime,Drama,Mystery",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
The Lost Daughter,No,2600000,123.0,1300000,2023 H2,7.1,14,"Crime,Documentary",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The One for Sarah,No,2000000,96.0,1300000,2023 H2,6.1,45,"Drama,Romance",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Parker,No,2500000,119.0,1300000,2023 H2,6.1,85,"Crime,Drama",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Raees,No,3100000,143.0,1300000,2023 H2,3.7,618,"Crime,Drama",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A Little White Lie,No,2200000,101.0,1300000,2025 H1,8.2,6,"Drama,Family",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Wunderschön,No,2900000,132.0,1300000,2024 H2,5.5,10,Drama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Little Evil,Yes,2100000,95.0,1300000,2023 H2,5.7,24529,"Comedy,Fantasy,Horror",1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Disobedience,No,2400000,114.0,1300000,2023 H2,6.1,15,"Mystery,Sci-Fi,Short",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
The Bet,No,2100000,98.0,1300000,2024 H2,6.9,12,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deuces,No,1900000,88.0,1300000,2023 H2,4.0,128,"Sci-Fi,Thriller",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Carrie Pilby,No,2200000,98.0,1300000,2023 H2,6.7,14173,"Comedy,Drama",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Underworld: Evolution,No,2400000,107.0,1300000,2023 H2,6.7,215715,"Action,Fantasy,Thriller",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Il sesso degli angeli,No,1900000,91.0,1300000,2024 H1,5.1,247,Drama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Daddio,No,2100000,100.0,1300000,2024 H2,7.5,66,"Comedy,Short",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Security,No,2500000,118.0,1300000,2023 H2,7.5,23,"Comedy,Reality-TV,Sport",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intuition,No,2500000,116.0,1300000,2023 H2,4.7,35,"Drama,Thriller",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Annabelle Comes Home,No,2300000,106.0,1300000,2025 H1,5.9,97924,"Horror,Mystery,Thriller",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gunpowder Milkshake,No,2400000,115.0,1300000,2025 H1,6.1,54688,"Action,Crime,Thriller",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Cliche,Yes,2500000,113.0,1300000,2025 H1,6.5,185,Comedy,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inkabi,No,2200000,102.0,1300000,2024 H1,4.9,88,Action,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
White Noise,Yes,3000000,137.0,1300000,2023 H2,7.4,72,Documentary,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbie of Swan Lake,No,1800000,86.0,1300000,2023 H2,6.5,8909,"Animation,Family",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Worth,No,2600000,119.0,1300000,2023 H2,7.8,9832,"Drama,Horror,Thriller",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
First They Killed My Father,Yes,2900000,137.0,1300000,2023 H2,7.2,21706,"Biography,Drama,History",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Rattlesnake,Yes,1800000,86.0,1300000,2023 H2,4.7,9890,"Drama,Horror,Mystery",1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Die Rettung der uns bekannten Welt,No,3000000,136.0,1300000,2024 H2,4.6,430,"Comedy,Drama",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
For Love of the Game,No,3100000,138.0,1300000,2025 H1,6.6,39664,"Drama,Romance,Sport",0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Monty Python and the Holy Grail,Yes,2000000,92.0,1300000,2023 H2,6.9,21,Comedy,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midnight Run,No,2700000,126.0,1300000,2023 H2,7.1,10,"Crime,Drama,Short",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Skater Girl,Yes,2300000,110.0,1300000,2023 H2,6.7,7517,"Drama,Family,Sport",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
13: The Musical,Yes,2100000,95.0,1300000,2023 H2,5.2,1199,"Comedy,Drama,Family",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Jimmy Neutron: Boy Genius,No,1800000,83.0,1300000,2025 H1,6.1,39962,"Action,Adventure,Animation",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Beats,Yes,2300000,110.0,1300000,2023 H2,6.4,6286,"Drama,Music",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Silver Skates,No,2900000,138.0,1300000,2023 H2,5.2,130,Musical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Eurovision Song Contest: The Story of Fire Saga,Yes,2600000,124.0,1300000,2023 H2,6.5,107575,"Comedy,Music",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bachelor Party,No,1800000,84.0,1300000,2024 H2,7.4,19,"Comedy,Family",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Someone, Somewhere",No,2400000,110.0,1300000,2023 H2,7.0,9,"Romance,Short",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
La vida inmoral de la pareja ideal,No,2000000,91.0,1300000,2023 H2,6.9,2280,Comedy,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,No,2100000,94.0,1300000,2024 H2,6.5,66078,"Comedy,Crime",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Social Dilemma,Yes,2100000,95.0,1300000,2023 H2,7.6,92999,"Documentary,Drama",1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Squid and the Whale,Yes,1700000,81.0,1300000,2023 H2,7.3,93905,"Comedy,Drama",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brain on Fire,No,1900000,89.0,1300000,2023 H2,6.6,25808,"Biography,Drama",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
The Boxtrolls,No,2000000,96.0,1300000,2023 H2,6.8,63960,"Adventure,Animation,Comedy",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sliver,No,2400000,107.0,1300000,2025 H1,5.1,36640,"Drama,Thriller",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Le gendre de ma vie,No,2200000,101.0,1300000,2024 H2,5.4,723,Comedy,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Girl: Corinne Tan,No,1300000,61.0,1300000,2024 H1,7.1,138,"Drama,Family",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Desperado,No,2200000,105.0,1300000,2023 H2,8.6,8,"Comedy,Short",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Life Ahead,Yes,2100000,95.0,1300000,2023 H2,7.3,19,"Documentary,Reality-TV,Talk-Show",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Carnaval,Yes,2100000,95.0,1300000,2024 H1,6.8,10,Drama,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dog Days,No,2400000,115.0,1300000,2025 H1,6.4,69,"Comedy,Family,Short",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
StarBeam: Beaming in the New Year,No,1000000,47.0,1300000,2023 H2,5.4,56,"Animation,Family",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Abraço de Mãe,No,2000000,91.0,1300000,2024 H2,5.8,694,Horror,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lulli,Yes,1900000,91.0,1300000,2024 H1,4.9,2009,"Comedy,Romance",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,No,3100000,154.0,1200000,2023 H2,9.0,19,Reality-TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hatton Garden: The Inside Story,No,900000,46.0,1200000,2023 H2,6.8,143,Documentary,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lobster,No,2300000,119.0,1200000,2024 H1,7.1,324580,"Drama,Romance,Sci-Fi",0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Luccas Neto em: Duas Babás Muito Esquisitas,No,1600000,83.0,1200000,2023 H2,3.4,58,Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kasargold,Yes,2700000,137.0,1200000,2023 H2,5.4,1150,"Action,Drama,Thriller",1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Don't Tell a Soul,No,1700000,83.0,1200000,2023 H2,5.9,6537,"Drama,Thriller",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Elevator,No,1900000,94.0,1200000,2024 H2,6.8,10,"Comedy,Talk-Show",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Baytown Outlaws,No,2000000,99.0,1200000,2025 H1,6.3,16771,"Action,Comedy,Crime",0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dirty Dancing: Havana Nights,No,1700000,86.0,1200000,2025 H1,5.9,30572,"Drama,Music,Romance",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Paradise Beach,No,1900000,94.0,1200000,2023 H2,8.1,11,"Comedy,Short",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Runaway Bride,No,2300000,116.0,1200000,2023 H2,8.4,33,"Drama,Family,Romance",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Kidnap for Romance,No,2300000,115.0,1200000,2023 H2,6.5,50,Drama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Rhythm Section,No,2200000,111.0,1200000,2024 H1,5.4,20943,"Action,Drama,Mystery",0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
ONEFOUR: Against All Odds,Yes,1700000,83.0,1200000,2023 H2,6.7,378,"Crime,Documentary,Music",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tell Me Who I Am,Yes,1700000,86.0,1200000,2024 H1,7.6,19074,"Documentary,Drama,Mystery",1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Jagdsaison,No,1900000,93.0,1200000,2024 H1,7.3,8,Short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The BFG,No,2400000,117.0,1200000,2023 H2,6.3,97818,"Adventure,Family,Fantasy",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Studio 54,No,1900000,99.0,1200000,2023 H2,7.9,24,"Biography,Documentary,Music",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Trip Ubusan: The Lolas vs Zombies,No,2200000,112.0,1200000,2024 H1,6.9,99,"Comedy,Horror",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Remaining,No,1800000,88.0,1200000,2024 H2,4.3,9653,"Drama,Fantasy,Horror",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Fatman,No,2000000,99.0,1200000,2023 H2,5.9,32449,"Action,Adventure,Comedy",0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Love Sarah,No,2000000,98.0,1200000,2023 H2,6.2,4295,"Comedy,Drama,Romance",0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Giver,No,2000000,97.0,1200000,2023 H2,6.4,129442,"Drama,Romance,Sci-Fi",0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
PK,Yes,2800000,146.0,1200000,2025 H1,5.6,10,"Drama,Short",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Craft,No,2000000,101.0,1200000,2023 H2,7.7,12,Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Only Mine,No,1700000,88.0,1200000,2023 H2,4.7,3976,"Drama,Mystery,Thriller",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Uma Loucura de Mulher,No,1800000,92.0,1200000,2023 H2,5.2,259,"Comedy,Romance",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wheelman,Yes,1600000,82.0,1200000,2023 H2,6.0,21,"Action,Adventure,Crime",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Feast,No,2000000,97.0,1200000,2024 H1,8.1,24709,"Animation,Comedy,Drama",0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Night Swim,No,2000000,98.0,1200000,2025 H1,5.6,527,"Horror,Short",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Nut Job 2: Nutty by Nature,No,1800000,91.0,1200000,2024 H2,5.5,7821,"Adventure,Animation,Comedy",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fantastic Beasts: The Crimes of Grindelwald,No,2700000,134.0,1200000,2024 H2,7.1,47,Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gigi & Nate,No,2300000,115.0,1200000,2024 H2,6.7,2446,"Drama,Family",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Good Sam,Yes,1800000,90.0,1200000,2024 H1,7.8,15,"Drama,Short",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Memory Game,No,2100000,107.0,1200000,2023 H2,7.2,365,"Comedy,Drama",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Mystery of Marilyn Monroe: The Unheard Tapes,Yes,2100000,102.0,1200000,2023 H2,6.2,5957,"Biography,Crime,Documentary",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Buddy,No,2600000,135.0,1200000,2024 H2,7.5,44,"Drama,Family",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Ninja Assassin,No,1900000,99.0,1200000,2023 H2,6.3,78707,"Action,Thriller",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Friends with Money,No,1800000,88.0,1200000,2025 H1,5.8,33101,"Comedy,Drama,Romance",0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
La belle étincelle,No,1700000,88.0,1200000,2025 H1,6.5,164,Drama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kal Ho Naa Ho,No,3600000,187.0,1200000,2024 H2,7.9,80215,"Comedy,Drama,Musical",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Wrath of Man,No,2400000,119.0,1200000,2023 H2,7.1,230924,"Action,Crime,Thriller",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Letters to Juliet,No,2100000,105.0,1200000,2023 H2,6.5,111098,"Adventure,Comedy,Drama",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Mercury Rising,No,2200000,111.0,1200000,2024 H1,6.9,22,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Double Life,No,1800000,90.0,1200000,2024 H2,5.5,6,Reality-TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sleight,No,1800000,89.0,1200000,2024 H2,5.9,9474,"Crime,Drama,Sci-Fi",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
In Darkness,No,2100000,101.0,1200000,2025 H1,5.8,15339,"Mystery,Thriller",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Long Shot,Yes,800000,40.0,1200000,2024 H2,6.1,20,Comedy,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phantom,No,2600000,133.0,1200000,2024 H2,7.7,11,"Drama,Short",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unplugging,No,1900000,94.0,1200000,2024 H1,4.4,1214,"Comedy,Romance",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blanquita,No,1900000,98.0,1200000,2023 H2,6.2,399,Drama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sevillanas de Brooklyn,No,2000000,97.0,1200000,2023 H2,5.6,572,Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two for the Money,No,2400000,122.0,1200000,2025 H1,8.4,9,Reality-TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Paper,No,2200000,111.0,1200000,2024 H2,8.9,9,Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Fellowship of the Ring,No,3500000,178.0,1200000,2024 H2,6.7,683,"Action,Adventure,Fantasy",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
The Bikeriders,No,2300000,116.0,1200000,2025 H1,6.6,73159,"Crime,Drama",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Old Ways,Yes,1800000,90.0,1200000,2023 H2,5.4,8707,"Drama,Fantasy,Horror",1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Solo una vez,No,1600000,80.0,1200000,2024 H1,5.7,337,Drama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
When I Met You in Tokyo,No,2500000,127.0,1200000,2024 H2,5.8,113,"Comedy,Drama,Romance",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fun Mom Dinner,No,1600000,82.0,1200000,2023 H2,5.3,6757,Comedy,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chief of Station,No,2000000,97.0,1200000,2024 H2,4.7,5169,"Action,Thriller",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alimañas,No,1600000,81.0,1200000,2025 H1,4.9,746,Comedy,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fathers & Daughters,No,2400000,116.0,1200000,2023 H2,7.0,30065,Drama,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hold Your Breath: The Ice Dive,Yes,800000,41.0,1200000,2023 H2,6.6,1198,"Documentary,Short,Sport",1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Beauty and the Beast,No,2200000,113.0,1200000,2023 H2,5.3,31,Animation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweet & Sour,Yes,2000000,103.0,1200000,2025 H1,5.5,25,Adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zim Zim Ala Kazim,No,1500000,78.0,1200000,2025 H1,3.5,117,"Comedy,Horror,Music",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Escape from Pretoria,No,2100000,106.0,1200000,2025 H1,6.8,48326,"Action,Biography,Crime",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
The Cobbler,No,1900000,98.0,1200000,2023 H2,5.8,63894,"Comedy,Drama,Fantasy",0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Piano Love,No,2100000,105.0,1200000,2024 H2,6.7,23,"Crime,Drama",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fearless,Yes,1900000,92.0,1200000,2023 H2,4.6,91,"Action,Drama",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Unfriended,No,1700000,83.0,1200000,2024 H2,8.5,24,Reality-TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To Leslie,No,2300000,120.0,1200000,2023 H2,7.1,19104,Drama,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Single in Seoul,No,2000000,103.0,1200000,2024 H1,6.1,761,"Comedy,Drama,Romance",0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Puff: Wonders of the Reef,Yes,1200000,59.0,1200000,2023 H2,7.2,1285,"Documentary,Family",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Orphan: First Kill,No,1900000,98.0,1200000,2024 H2,5.9,52417,"Crime,Drama,Horror",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
They Shall Not Grow Old,No,2000000,99.0,1200000,2023 H2,7.7,80,"Biography,Documentary,History",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Madame Claude,Yes,2300000,113.0,1200000,2023 H2,5.5,4334,"Biography,Crime,Drama",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Crown for Christmas,No,1800000,87.0,1200000,2024 H2,6.9,6250,"Comedy,Drama,Family",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Hot Blooded,No,2200000,120.0,1100000,2024 H2,6.8,15,Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Sunday Affair,Yes,1800000,96.0,1100000,2023 H2,4.6,262,Romance,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria & Abdul,No,2000000,112.0,1100000,2024 H1,6.8,39494,"Biography,Comedy,Drama",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Georgetown,No,1900000,100.0,1100000,2023 H2,6.6,47,Drama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Broad Peak,Yes,1800000,102.0,1100000,2023 H2,6.0,2445,"Adventure,Biography,Drama",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"For a Good Time, Call...",No,1500000,85.0,1100000,2024 H2,7.2,11,"Horror,Short,Thriller",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Last Vermeer,No,2200000,118.0,1100000,2023 H2,6.7,6435,"Drama,War",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Overcomer,No,2200000,119.0,1100000,2023 H2,6.7,6267,"Drama,Family,Sport",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Minnal Murali,Yes,2800000,159.0,1100000,2025 H1,7.8,34344,"Action,Comedy,Drama",1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Grudge,Yes,1900000,107.0,1100000,2024 H1,4.6,16,Adult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concrete Cowboy,Yes,2000000,112.0,1100000,2023 H2,6.3,10250,"Drama,Western",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Janji Darah,Yes,1900000,104.0,1100000,2024 H2,4.4,182,"Horror,Thriller",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Week Away,Yes,1800000,98.0,1100000,2023 H2,7.6,130,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
